num_obs,num_females,num_males,p_alive,p_alive_females,p_alive_males,mortality_HRs(F:M),at_risk_females,at_risk_males,mean_U_at_risk_females,mean_U_at_risk_males,inc_cases_females,inc_cases_males,dem_cases_females,dem_cases_males,PY_females,PY_males,dem_prob_females,dem_prob_males,sim_rates,sim_rates_females,sim_rates_males,IRRs(F:M),dem_HRs(F:M)
NA,NA,NA,0.522280005274742,0.6450613807711153,0.39437937722484634,0.47696082868853157,36243.84,25907.08,-0.0872413732649429,-0.0880025266720687,2721.52,1680.53,5750.89,3850.85,162164.5195138707,105669.73315739416,0.1464332036996765,0.13715140966345152,16.435810000000007,16.78278000000001,15.903769999999993,1.055274643164684,1.0056186733399906
NA,NA,NA,0.347773740856291,0.47050643897196354,0.21992370824154053,0.5402566957079116,27682.94,16251.12,-0.1661031024939369,-0.16751671970564871,3616.1,1774.08,8740.63,4778.05,113302.91722488795,58950.53374140867,0.2664219630025504,0.248141931904104,31.29223,31.915620000000004,30.093639999999986,1.0607291744535012,0.9987800473608793
NA,NA,NA,0.18362978038441127,0.27245618818169404,0.0910994629844506,0.6198065218037996,16915.74,7592.27,-0.26755621018869385,-0.2693271916115946,2989.4,1100.58,10003.36,4245.82,59957.298231868706,23398.135962672943,0.4180310062238982,0.3954142948584702,49.067370000000004,49.86006,47.03923999999999,1.0602476990428018,1.0015263401253947
NA,NA,NA,0.06181499217729893,0.09954991719788323,0.022506655649966546,0.7201832118155994,7379.34,2368.27,-0.385680291823804,-0.3857607072653408,1426.61,371.27,7904.27,2450.81,20738.428245876472,5763.615043829681,0.5704128287238507,0.5510081521856718,67.84228999999999,68.79524,64.41712,1.0688479765345358,1.0105664344899346
99679.37,50827.64,48851.73,0.9733966929094535,0.9795469974449433,0.9669974103996734,0.6157114401188566,50827.64,48851.73,4.738639887662956e-5,3.3846605647127286e-4,276.56,262.5,276.56,262.5,251321.5215014803,240002.66013240433,0.00544111273747093,0.0053733792202480014,1.0971499999999992,1.1003999999999996,1.09377,1.0057192909463755,1.001271757017019
NA,NA,NA,0.9339302564982126,0.9516574527199972,0.9154867575436059,0.5275527101469056,49512.46,46978.31,-0.003303552389151171,-0.003000225364337694,382.6,359.76,658.2,620.96,243718.17661940283,228289.48839956842,0.013220045901780704,0.01314488314879388,1.5727700000000004,1.5698699999999997,1.5759,0.9963985251487936,0.9875116222820107
NA,NA,NA,0.8766098784170431,0.9131486553865727,0.8385932878662351,0.47079415226879534,47722.14,44119.28,-0.011333246307483833,-0.011059966708786093,477.45,425.64,1125.79,1029.46,233346.09573127917,210837.80508815378,0.023274504754122835,0.023018599004841832,2.033159999999999,2.0461400000000003,2.01879,1.0139100561262944,0.9981643293964795
NA,NA,NA,0.7933478077950927,0.8573231053512674,0.7267846783189279,0.4407932167370469,45316.43,39994.12,-0.02412107465895983,-0.024078152004533067,739.65,611.81,1836.39,1584.44,218920.97722951364,185759.85895381426,0.03956620420178677,0.03867667234175669,3.339600000000001,3.37863,3.2936400000000003,1.0259620505451197,0.9995506008471321
NA,NA,NA,0.6755251318887082,0.7718533829432266,0.5753004545174752,0.44923405163175617,41814.83,34064.44,-0.04551495702168975,-0.04542880814844104,1478.85,1084.04,3239.72,2524.31,196884.4459783837,150695.07686419357,0.07434718262630752,0.07109817663510624,7.373510000000002,7.511339999999998,7.193709999999998,1.044214264890591,1.0053207296860294
NA,NA,NA,0.5219354791213808,0.6443163963281541,0.394604086040332,0.4790087720767405,36202.36,25934.02,-0.08761744987243154,-0.08736140583014845,2711.16,1687.07,5740.27,3857.5,161940.43637573652,105764.01874655025,0.14631842320881028,0.13725625597404315,16.429639999999996,16.74187,15.951619999999997,1.0496635194987303,1.0004207107979628
NA,NA,NA,0.3473113715551605,0.46979943729549717,0.21986902472990516,0.5401030760847485,27640.14,16267.84,-0.16642930376088694,-0.1663102028524809,3597.66,1769.15,8706.6,4778.43,113090.91551367202,58992.08752358875,0.26585715010894384,0.2478825304989754,31.187170000000002,31.81195000000001,29.98933,1.0609074243879364,0.9986736163593147
NA,NA,NA,0.18350908321566975,0.2724152412526697,0.09100701812895613,0.6183189419922066,16897.64,7598.11,-0.26749605332983023,-0.2675816767850192,2981.88,1104.65,9963,4247.56,59891.745524658945,23419.148010376444,0.41723059786747535,0.39545100238232217,49.052209999999995,49.7891,47.169210000000014,1.0557162229750099,0.9968644822496774
NA,NA,NA,0.06177275310380909,0.0995658911310199,0.02245069662926694,0.7188905766663134,7380.86,2367.91,-0.38397999919930115,-0.38461738281726576,1417.85,371.63,7883.18,2449.6,20739.385858681846,5731.747635439107,0.5693359418276489,0.5509696200340096,67.60366999999998,68.37078,64.83376,1.0553151865816863,0.9959964244582354
99679.56,50843.16,48836.4,0.9734515224076524,0.9795964904777377,0.9670528402825647,0.615328971820145,50843.16,48836.4,-1.6279824909548916e-4,-4.145804880678718e-4,281.63,264.07,281.63,264.07,251388.5019275313,239936.3061476186,0.005539065208726911,0.0054073150753707324,1.1106800000000003,1.1202900000000005,1.1006099999999999,1.0181702403057378,1.0136129856981722
NA,NA,NA,0.9340243836123053,0.9516799225207412,0.9156414962819857,0.5291602004521248,49525.01,46964.68,-0.0035236319747432117,-0.0036795101156693755,384.48,357.88,665.26,620.63,243775.67873087458,228233.24954073428,0.013357102060413288,0.013141287162119122,1.5727600000000006,1.5772400000000006,1.5680100000000001,1.0067492707721626,0.9978705729298619
NA,NA,NA,0.8767755253201198,0.9133618897255862,0.8386840755580791,0.4680729855729297,47730.69,44112.59,-0.011591941088234449,-0.01171585841241274,475.94,427.9,1131.69,1032.01,233414.34869679206,210813.71729372052,0.02338875877150032,0.023078887571600613,2.0346000000000006,2.0390800000000002,2.02974,1.0043299434296615,0.9885364916956129
NA,NA,NA,0.7935417893939234,0.8577022551907284,0.7267442570675163,0.4388098378091775,45335.98,39983.34,-0.02432871691181628,-0.024614186022655474,745.92,608.67,1848.15,1583.72,219033.026338237,185700.25212236028,0.03979810863790794,0.03866708618786709,3.3468699999999996,3.4054799999999994,3.27779,1.0388492167222196,1.012074498986184
NA,NA,NA,0.6755747864717502,0.7719824792373755,0.5752061217265315,0.4502815523171761,41835.32,34052.42,-0.045735949238079734,-0.04559021992757938,1469.38,1089.16,3242.33,2528.37,196944.1408844409,150652.48298418638,0.07435099899061591,0.0712385028223784,7.360659999999996,7.460890000000001,7.229560000000004,1.0320404522101587,0.9935679833347223
NA,NA,NA,0.5220054203785849,0.644740011305167,0.3942289087148707,0.4767107188139766,36218.41,25917.49,-0.08784341017480195,-0.08769227886451729,2714.09,1684.89,5745.65,3858.43,162068.3393452913,105679.18404211856,0.14638488237634634,0.13735444758090645,16.429449999999996,16.746499999999994,15.943249999999999,1.0504589802436675,1.0009047808560598
